Setting up watches.  Beware: since -r was given, this may take a while!
Watches established.
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/nsswitch.conf OPEN
2026-08-23T13:57:30 /etc/nsswitch.conf ACCESS
2026-08-23T13:57:30 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/passwd OPEN
2026-08-23T13:57:30 /etc/passwd ACCESS
2026-08-23T13:57:30 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/nsswitch.conf OPEN
2026-08-23T13:57:30 /etc/nsswitch.conf ACCESS
2026-08-23T13:57:30 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/passwd OPEN
2026-08-23T13:57:30 /etc/passwd ACCESS
2026-08-23T13:57:30 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files CREATE,ISDIR
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files OPEN,ISDIR
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files ACCESS,ISDIR
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files/report.txt CREATE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files/report.txt OPEN
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files/report.txt MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/files/report.txt CLOSE_WRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py OPEN
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py CLOSE_WRITE,CLOSE
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/nsswitch.conf OPEN
2026-08-23T13:57:30 /etc/nsswitch.conf ACCESS
2026-08-23T13:57:30 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/passwd OPEN
2026-08-23T13:57:30 /etc/passwd ACCESS
2026-08-23T13:57:30 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py OPEN
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py CLOSE_WRITE,CLOSE
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/nsswitch.conf OPEN
2026-08-23T13:57:30 /etc/nsswitch.conf ACCESS
2026-08-23T13:57:30 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /etc/passwd OPEN
2026-08-23T13:57:30 /etc/passwd ACCESS
2026-08-23T13:57:30 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py OPEN
2026-08-23T13:57:30 /etc/ld.so.cache OPEN
2026-08-23T13:57:30 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py MODIFY
2026-08-23T13:57:30 /workspace/app/demo_notes_app/app.py CLOSE_WRITE,CLOSE
