Setting up watches.  Beware: since -r was given, this may take a while!
Watches established.
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/nsswitch.conf OPEN
2026-08-23T13:33:05 /etc/nsswitch.conf ACCESS
2026-08-23T13:33:05 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/passwd OPEN
2026-08-23T13:33:05 /etc/passwd ACCESS
2026-08-23T13:33:05 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/nsswitch.conf OPEN
2026-08-23T13:33:05 /etc/nsswitch.conf ACCESS
2026-08-23T13:33:05 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/passwd OPEN
2026-08-23T13:33:05 /etc/passwd ACCESS
2026-08-23T13:33:05 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js MODIFY
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js OPEN
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js MODIFY
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js CLOSE_WRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/nsswitch.conf OPEN
2026-08-23T13:33:05 /etc/nsswitch.conf ACCESS
2026-08-23T13:33:05 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/passwd OPEN
2026-08-23T13:33:05 /etc/passwd ACCESS
2026-08-23T13:33:05 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js OPEN
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js ACCESS
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js MODIFY
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js OPEN
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js MODIFY
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js CLOSE_WRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/nsswitch.conf OPEN
2026-08-23T13:33:05 /etc/nsswitch.conf ACCESS
2026-08-23T13:33:05 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/passwd OPEN
2026-08-23T13:33:05 /etc/passwd ACCESS
2026-08-23T13:33:05 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /etc/ld.so.cache OPEN
2026-08-23T13:33:05 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js OPEN
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js ACCESS
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js CLOSE_NOWRITE,CLOSE
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js MODIFY
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js OPEN
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js MODIFY
2026-08-23T13:33:05 /workspace/app/attacomsian_code-examples/nodejs/express-multer/index.js CLOSE_WRITE,CLOSE
