Setting up watches.  Beware: since -r was given, this may take a while!
Watches established.
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/nsswitch.conf OPEN
2026-08-23T13:20:55 /etc/nsswitch.conf ACCESS
2026-08-23T13:20:55 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/passwd OPEN
2026-08-23T13:20:55 /etc/passwd ACCESS
2026-08-23T13:20:55 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/nsswitch.conf OPEN
2026-08-23T13:20:55 /etc/nsswitch.conf ACCESS
2026-08-23T13:20:55 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/passwd OPEN
2026-08-23T13:20:55 /etc/passwd ACCESS
2026-08-23T13:20:55 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/nsswitch.conf OPEN
2026-08-23T13:20:55 /etc/nsswitch.conf ACCESS
2026-08-23T13:20:55 /etc/nsswitch.conf CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/passwd OPEN
2026-08-23T13:20:55 /etc/passwd ACCESS
2026-08-23T13:20:55 /etc/passwd CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /etc/ld.so.cache OPEN
2026-08-23T13:20:55 /etc/ld.so.cache CLOSE_NOWRITE,CLOSE
2026-08-23T13:20:55 /workspace/app/15Flask CREATE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask OPEN,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask ACCESS,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04 CREATE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04 OPEN,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04 ACCESS,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04 OPEN,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04 CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04 CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04/ CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04/cart_options CREATE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04/cart_options OPEN,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04/cart_options ACCESS,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04/cart_options CLOSE_NOWRITE,CLOSE,ISDIR
2026-08-23T13:20:55 /workspace/app/15Flask/day04/requirements.txt CREATE
2026-08-23T13:20:55 /workspace/app/15Flask/day04/requirements.txt OPEN
